,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,Q3 2023,Q4 2023,Q1 2024,Q2 2024,Q3 2024,Q4 2024,Q1 2025,Q2 2025,Q3 2025,Q4 2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency and deposits,18548.46600695,18448.65639087,18516.51243143,18468.51283485,18518.64392308,18501.72096419,17932.17484798,17190.46513567,15520.23582919,14384.79012584,13182.90755777,12248.82152688,12241.56252966,9647.53739712,9675.08449955,8348.67796813,8344.27218702,6974.27127524,7110.01429209,6896.64293771,6938.08391933,5779.64851295,5753.04715929,5348.90234452,5284.10049134,5383.52665865,5622.71030353,6271.34595195,6379.23816775,6400.83193072,7718.43605161,7625.24588883,7588.63667808,7300.22980805,7599.22024888,7902.65314294,,العملة والودائع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other debt Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,التزامات أخرى,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Long-term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,طويلة الأجل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
debt securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,سندات الدين,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قروض,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Currency and deposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,العملة والودائع,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other debt Liabilities of which:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,التزامات أخرى ومنها:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDR Allocations,34001.76285,34636.934475,35416.381275,35687.958075,36432.99,35247.848625,34964.04285,34852.4451,34788.760875,34837.87725000001,35485.7937215625,34460.316,34403.51475,34291.67461014706,35183.18491195054,35183.18491195054,36252.16155,35745.2271,85905.543437,85221.64994,84291.58080000001,80961.3804405,77796.54377250001,81011.948885,82054.21168000001,81758.28059000001,81216.82425500001,80597.32016,81089.996645,80182.366236,82704.4470805,79574.56930500001,81034.712815,83779.5549745,83595.65494000001,83504.59922,,تخصيصات حقوق السحب الخاصة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,المصارف,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short-term,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,قصيرة الأجل,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
