الرقم القياسي لأسعار العقارات (2014 = 100): تكوين المؤشر حسب القطاع ونوع العقار,,,,
القطاع ونوع العقار,الأهمية النسبية (%),,,
الرقم القياسي العام,100,,,
سكني,65.37,,,
قطعة أرض,62.16,,,
عمارة,0.03,,,
فيلا,0.4,,,
شقة,2.58,,,
بيت,0.21,,,
تجاري,31.02,,,
قطعة أرض,30.87,,,
عمارة,0.003,,,
معرض / محل,0.08,,,
مركز تجاري,0.07,,,
زراعي,3.61,,,
أرض زراعية,3.61,,,
